,Message
1358,"[Muffin Break] Hi Troy, your reservation is confirmed for 2 people on 2009-08-28 at 2:16. We can hold your table for a maximum of 29 mins."
1359,"Thank you for choosing KSRTC for 2014-07-11 at 20:38. Cab:KA16J5314 , Chauffer: Nathaniel, Cell: 9735228763 will reach you. T&C apply, visit www.KSRTC.com"
1360,"Hi Customer, Booking ID: WB8T99T. Seats: GOLD-E2,E3, 2 seat(s) for Sausage Party on 2015-07-03 22:25 at Gopalan Cinemas: Bannerghatta Road. Please carry your CC/DC card which was used for booking tickets."
1361,Bill dated 2014-03-31 for Rs 272 has been generated for your Vodafone fixedline/broadband relationship no. 52127781. The same will reach you by 2014-04-03. Due date: 2014-04-15.
1362,"Repair ref.no for your car is JC23732127 opened on 2009-11-04 11:40hrs,ETD of your car is 2009-11-05 15:32hrs and est.repair amt is Rs.471 Rgds, Bimal Auto Agency"
1363,"[Murugan Idli Shop] Hi Gerardo, your reservation is confirmed for 3 people on 2012-12-17 at 3:37. We can hold your table for a maximum of 39 mins."
1364,"Hi Customer, Booking ID: WYJ82YR. Seats: SILVER-F6,F7,F8,F9,F10, 5 seat(s) for Rogue One on 2012-11-06 9:46 at INOX: Garuda Mall, Magrath Road. Please carry your CC/DC card which was used for booking tickets."
1365,"Repair ref.no for your car is JC22266122 opened on 2014-04-12 8:14hrs,ETD of your car is 2014-04-13 20:29hrs and est.repair amt is Rs.1151 Rgds, Lakshmi Auto Agency"
1366,Bill dated 2011-09-08 for Rs 520 has been generated for your Bsnl fixedline/broadband relationship no. 66275556. The same will reach you by 2011-09-11. Due date: 2011-09-23.
1367,The PNR for your Air India Flt 1V344 for PGH-BKB on 2015-01-16 at 11:47 hrs  is TM78IB. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1368,"* KSRTC m-Ticket *  from: SHIVAMOGGA to: Belagavi PsngrName: Raul TripCode: 1337SHIBel PNR No.: J23450115 JnyDate: 2014-07-10 DepTime: 13:37  SeatNo.: 19, 36  Class: Non-AC Sleeper  BoardingPt: SHIVAMOGGA Rly Station Txn Password: 6733 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1369,"Thank you for choosing radiocabs for 2010-02-22 at 23:13. Cab:KA75W7231 , Chauffer: Jake, Cell: 9668187748 will reach you. T&C apply, visit www.radiocabs.com"
1370,"Dear Guest, Thanks for choosing ice - cream parlor. Order ID 8231. Delivery by 2013-01-11 17:24. Enjoy 25% discount on your next purchase. Code D9ITYS. T&C."
1371,"* KSRTC m-Ticket *  from: Hubli to: PUTTAPARTHI PsngrName: Collin TripCode: 1439HubPUT PNR No.: J20515903 JnyDate: 2011-02-07 DepTime: 14:39  SeatNo.: 35, 28, 46, 31  Class: AC Sleeper  BoardingPt: Hubli Rly Station Txn Password: 3614 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1372,"Welcome to toy Store R.No. 416, 550 Ch.In 2012-03-20 10:46 Ch.out 2012-03-29 12:00."
1373,Bill dated 2012-01-11 for Rs 1125 has been generated for your Aircel fixedline/broadband relationship no. 67186888. The same will reach you by 2012-01-14. Due date: 2012-01-26.
1374,Maruti Auto Agency : Service of your car KA88T6273 is due in 57 days on 2010-12-22. Please contact us at 9634467775 to book a service.
1375,Appointment with Dr Vincent in KOLAR on 2010-07-16 at 20:38 is confirmed. For queries call 1800 8714 5888. Your appt. might get delayed in case the doctor is attending an emergency.
1376,"Repair ref.no for your car is JC82772628 opened on 2011-10-13 13:20hrs,ETD of your car is 2011-10-14 1:52hrs and est.repair amt is Rs.2216 Rgds, Maha Veer Auto Agency"
1377,"Dear Guest, Thanks for choosing Vytopna. Order ID 7555. Delivery by 2012-10-12 7:40. Enjoy 2% discount on your next purchase. Code ONWZ2A. T&C."
1378,"Thank you for choosing Uber for 2011-02-27 at 22:58. Cab:KA45I3182 , Chauffer: Keegan, Cell: 9646182653 will reach you. T&C apply, visit www.Uber.com"
1379,Appointment with Dr Eduardo in Mangaluru on 2014-12-22 at 11:49 is confirmed. For queries call 1800 8846 8757. Your appt. might get delayed in case the doctor is attending an emergency.
1380,Welcome to Cantiere Navale Visentini R.No. 312 Ch.In 2009-09-30 14:19 Ch.out 2009-10-22 12:00.
1381,"Hi Customer, Booking ID: WYWY7G7. Seats: GOLD-N12, 1 seat(s) for The Legend of Tarzan on 2014-09-07 21:52 at Triveni Theatre: Gandhinagar. Please carry your CC/DC card which was used for booking tickets."
1382,"Repair ref.no for your car is JC42822626 opened on 2013-12-13 5:57hrs,ETD of your car is 2013-12-14 4:44hrs and est.repair amt is Rs.617 Rgds, Maha Veer Auto Agency"
1383,"PNR:4735375547,TRAIN:6144,DOJ:2013-11-12,AC3,BE-BEP,Dep:18:28, Griffin,B1 76 , Fare:1167,SC:10.0+PG+INS"
1384,Appointment with Dr Drake in UDUPI on 2010-04-16 at 7:41 is confirmed. For queries call 1800 5624 4436. Your appt. might get delayed in case the doctor is attending an emergency.
1385,"Repair ref.no for your car is JC54183382 opened on 2015-02-14 11:39hrs,ETD of your car is 2015-02-15 1:33hrs and est.repair amt is Rs.2163 Rgds, Maruti Auto Agency"
1386,The PNR for your JET Airways Flt 5L184 for AGR-TIR on 2013-02-08 at 13:52 hrs  is DXW5Z8. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1387,"Thank you for choosing Ola for 2009-08-29 at 0:56. Cab:KA77H6487 , Chauffer: Derrick, Cell: 9221245882 will reach you. T&C apply, visit www.Ola.com"
1388,"[Paradise Bakery and Caf] Hi Jacob, your reservation is confirmed for 10 people on 2010-08-19 at 1:19. We can hold your table for a maximum of 12 mins."
1389,"Dear Guest, Thanks for choosing Big Smoke Burger. Order ID 5737. Delivery by 2014-12-31 3:13. Enjoy 6% discount on your next purchase. Code PUNBFD. T&C."
1390,The PNR for your INDIGO Flt 1G188 for AGR-BHJ on 2013-10-10 at 0:39 hrs  is G61VX6. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1391,"Hi Customer, Booking ID: WQWAVAN. Seats: STANDARD-H6, 1 seat(s) for Miss Peregrine's Home for Peculiar Children on 2011-07-08 20:58 at The Cinema GT World: Magadi Rd, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1392,"Dear Guest, Thanks for choosing Longfellow 's Wayside Inn. Order ID 1288. Delivery by 2011-09-10 14:33. Enjoy 14% discount on your next purchase. Code K6DA31. T&C."
1393,"Repair ref.no for your car is JC31563472 opened on 2014-05-14 21:36hrs,ETD of your car is 2014-05-15 21:25hrs and est.repair amt is Rs.2473 Rgds, Maha Veer Auto Agency"
1394,Bill dated 2013-11-13 for Rs 360 has been generated for your Bsnl fixedline/broadband relationship no. 44784731. The same will reach you by 2013-11-16. Due date: 2013-11-28.
1395,"[Henry Ford Museum and Greenfield Village] Hi Elias, your reservation is confirmed for 14 people on 2013-08-17 at 10:56. We can hold your table for a maximum of 43 mins."
1396,"DEAR Jake, THANK YOU FOR YOUR BOOKING (ORDER ID: 34161), YOUR ORDER HAS BEEN ASSIGNED TO Trey(9246827435) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2015-04-02 at 22:45. FOR ASSISTANCE WHATSAPP US ON 8637836251."
1397,Maha Veer Auto Agency : Service of your car KA34V2174 is due in 61 days on 2011-07-29. Please contact us at 9383551387 to book a service.
1398,Maruti Auto Agency : Service of your car KA52K2873 is due in 17 days on 2014-03-03. Please contact us at 9175311448 to book a service.
1399,"Hi Customer, Booking ID: W9YJBBD. Seats: STANDARD-C5,C6, 2 seat(s) for Deadpool on 2010-03-20 0:37 at Lakshmi Digital 4K Cinema: Tavarekere. Please carry your CC/DC card which was used for booking tickets."
1400,"Thank you for choosing Ola for 2012-01-08 at 21:55. Cab:KA82Z4457 , Chauffer: David, Cell: 9128588222 will reach you. T&C apply, visit www.Ola.com"
1401,The PNR for your AirAsia Flt 4T647 for CCU-PGH on 2010-08-27 at 23:26 hrs  is HPUV4P. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1402,Bimal Auto Agency : Service of your car KA24J6343 is due in 48 days on 2010-02-16. Please contact us at 9152815118 to book a service.
1403,"Dear Guest, Thanks for choosing Meadows Frozen Custard. Order ID 1555. Delivery by 2013-02-16 14:30. Enjoy 28% discount on your next purchase. Code O0MPPY. T&C."
1404,"Welcome to Fair Deal Cafe R.No. 314, 163, 236, 197 Ch.In 2013-06-11 21:50 Ch.out 2013-07-03 12:00."
1405,"Dear Guest, Thanks for choosing Pizza House. Order ID 7354. Delivery by 2013-11-28 6:43. Enjoy 28% discount on your next purchase. Code J5B69B. T&C."
1406,"Hi Customer, Booking ID: WS2FZKE. Seats: PLATINUM-E16, 1 seat(s) for Now You See Me 2 on 2014-05-09 16:15 at PVR: Soul Spirit Bellandur, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1407,"PNR:7332867677,TRAIN:3777,DOJ:2013-04-03,AC3,AMH-BNHL,Dep:11:18, Noah,B4 45 , Fare:5032,SC:10.0+PG+INS"
1408,"Hi Customer, Booking ID: WBPYBBE. Seats: SILVER-J8,J9,J10,J11,J12, 5 seat(s) for Storks on 2011-03-02 13:48 at Cinepolis: Binnypet Mall. Please carry your CC/DC card which was used for booking tickets."
1409,Maruti Auto Agency : Service of your car KA46E1838 is due in 31 days on 2012-01-14. Please contact us at 9641778638 to book a service.
1410,"Welcome to Presentation College R.No. 545, 271, 470, 121 Ch.In 2013-05-24 1:58 Ch.out 2013-05-25 12:00."
1411,Bill dated 2009-11-20 for Rs 265 has been generated for your Bsnl fixedline/broadband relationship no. 61758432. The same will reach you by 2009-11-23. Due date: 2009-12-05.
1412,Welcome to FIELD and MAIN BC R.No. 394 Ch.In 2015-05-27 17:49 Ch.out 2015-06-09 12:00.
1413,Bill dated 2012-07-19 for Rs 187 has been generated for your Vodafone fixedline/broadband relationship no. 87187234. The same will reach you by 2012-07-22. Due date: 2012-08-03.
1414,"* KSRTC m-Ticket *  from: ANWATTI to: MANIPAL PsngrName: Marcos TripCode: 738ANWMAN PNR No.: J25546858 JnyDate: 2011-03-29 DepTime: 7:38  SeatNo.: 37, 8, 12, 14, 19, 23  Class: AC Sleeper  BoardingPt: ANWATTI Bus Stand Road Txn Password: 1564 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1415,"Repair ref.no for your car is JC87567248 opened on 2013-01-17 7:31hrs,ETD of your car is 2013-01-18 16:44hrs and est.repair amt is Rs.2093 Rgds, Maha Veer Auto Agency"
1416,"Welcome to Mt. Helix Park R.No. 482, 511 Ch.In 2013-11-23 21:33 Ch.out 2013-12-08 12:00."
1417,"Dear Guest, Thanks for choosing Coffee 1. Order ID 4125. Delivery by 2013-02-25 10:41. Enjoy 15% discount on your next purchase. Code WZICXA. T&C."
1418,Bill dated 2009-12-02 for Rs 981 has been generated for your Aircel fixedline/broadband relationship no. 11244367. The same will reach you by 2009-12-05. Due date: 2009-12-17.
1419,Bill dated 2010-08-31 for Rs 239 has been generated for your Idea fixedline/broadband relationship no. 23357282. The same will reach you by 2010-09-03. Due date: 2010-09-15.
1420,True Value : Service of your car KA71R2281 is due in 81 days on 2013-03-17. Please contact us at 9488274475 to book a service.
1421,Maha Veer Auto Agency : Service of your car KA42B1846 is due in 35 days on 2012-08-01. Please contact us at 9318215333 to book a service.
1422,Appointment with Dr Henry in Mangaluru on 2012-10-18 at 18:17 is confirmed. For queries call 1800 8824 1415. Your appt. might get delayed in case the doctor is attending an emergency.
1423,"DEAR Hayden, THANK YOU FOR YOUR BOOKING (ORDER ID: 75855), YOUR ORDER HAS BEEN ASSIGNED TO Manuel(9213747467) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-06-19 at 8:16. FOR ASSISTANCE WHATSAPP US ON 8874268524."
1424,"Repair ref.no for your car is JC73738288 opened on 2013-12-06 1:20hrs,ETD of your car is 2013-12-07 20:32hrs and est.repair amt is Rs.638 Rgds, True Value"
1425,"[Nathan 's Famous] Hi Camden, your reservation is confirmed for 28 people on 2010-06-20 at 9:58. We can hold your table for a maximum of 30 mins."
1426,"Hi Customer, Booking ID: WSVM9UO. Seats: GOLD-M10,M11,M12,M13,M14,M15,M16,M17, 8 seat(s) for Doctor Strange on 2009-12-04 16:49 at PVR: Market City, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1427,"PNR:5478651486,TRAIN:52337,DOJ:2013-12-11,FC,BJMD-BIK,Dep:2:39, Raul,F3 54 , Fare:6387,SC:10.0+PG+INS"
1428,Bimal Auto Agency : Service of your car KA12J4121 is due in 18 days on 2014-06-01. Please contact us at 9413545651 to book a service.
1429,"Dear Guest, Thanks for choosing Mikel Coffee Company. Order ID 4565. Delivery by 2011-12-20 22:22. Enjoy 20% discount on your next purchase. Code BFZ2LP. T&C."
1430,"Hi Customer, Booking ID: W0ABO0Y. Seats: STANDARD-F7, 1 seat(s) for Hidden Figures on 2010-08-26 13:23 at PVR: Market City, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1431,The PNR for your Air India Flt 5X562 for AMD-WGC on 2012-11-20 at 14:43 hrs  is FAN5K5. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1432,Bimal Auto Agency : Service of your car KA27M7854 is due in 51 days on 2012-01-04. Please contact us at 9483475618 to book a service.
1433,"PNR:6721627238,TRAIN:1445,DOJ:2010-11-02,AC3,BYHA-BJNR,Dep:6:39, Martin,B9 85 , Fare:9368,SC:10.0+PG+INS"
1434,Appointment with Dr Hayden in CHIKKAMAGALURU on 2012-03-22 at 9:38 is confirmed. For queries call 1800 6565 5127. Your appt. might get delayed in case the doctor is attending an emergency.
1435,"Repair ref.no for your car is JC21618813 opened on 2013-06-21 9:53hrs,ETD of your car is 2013-06-22 23:28hrs and est.repair amt is Rs.1145 Rgds, True Value"
1436,* KSRTC m-Ticket *  from: Mysuru to: Kozhikode PsngrName: Brady TripCode: 1520MysKoz PNR No.: J22759147 JnyDate: 2013-07-08 DepTime: 15:20  SeatNo.: 11  Class: Non-AC Sleeper  BoardingPt: Mysuru Rly Station Txn Password: 4163 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
1437,Appointment with Dr Nolan in Shivamogga on 2014-06-21 at 5:14 is confirmed. For queries call 1800 3534 1227. Your appt. might get delayed in case the doctor is attending an emergency.
1438,"[Kingsley 's Chicken] Hi Colin, your reservation is confirmed for 23 people on 2014-11-13 at 9:22. We can hold your table for a maximum of 16 mins."
1439,"* KSRTC m-Ticket *  from: Pune to: Mysuru PsngrName: Derek TripCode: 2138PunMys PNR No.: J96370042 JnyDate: 2011-08-03 DepTime: 21:38  SeatNo.: 16, 43  Class: AC Sleeper  BoardingPt: Pune MG Road Txn Password: 7371 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1440,Appointment with Dr Edgar in Hyderabad on 2015-05-14 at 6:50 is confirmed. For queries call 1800 3118 2786. Your appt. might get delayed in case the doctor is attending an emergency.
1441,"Hi Customer, Booking ID: WPEZM99. Seats: PLATINUM-F13,F14,F15,F16,F17,F18, 6 seat(s) for Jason Bourne on 2010-04-09 1:16 at INOX: Garuda Mall, Magrath Road. Please carry your CC/DC card which was used for booking tickets."
1442,* KSRTC m-Ticket *  from: Bengaluru to: Puducherry PsngrName: Richard TripCode: 857BenPud PNR No.: J38594725 JnyDate: 2012-03-12 DepTime: 8:57  SeatNo.: 15  Class: Non-AC chair  BoardingPt: Bengaluru Rly Station Txn Password: 4477 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
1443,"* KSRTC m-Ticket *  from: PALAKKAD to: CHIKKAMAGALURU PsngrName: Conner TripCode: 1323PALCHI PNR No.: J81068321 JnyDate: 2012-07-28 DepTime: 13:23  SeatNo.: 32, 34, 14, 49, 53, 28  Class: Non-AC chair  BoardingPt: PALAKKAD MG Road Txn Password: 7173 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1444,"* KSRTC m-Ticket *  from: UDUPI to: Chennai PsngrName: Aiden TripCode: 1332UDUChe PNR No.: J66319716 JnyDate: 2013-04-21 DepTime: 13:32  SeatNo.: 32, 2, 8, 42, 46, 16, 52, 21, 29  Class: Non-AC chair  BoardingPt: UDUPI Bus Stand Road Txn Password: 2114 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1445,"Thank you for choosing Ola for 2012-10-06 at 15:26. Cab:KA51B2154 , Chauffer: Keegan, Cell: 9517123242 will reach you. T&C apply, visit www.Ola.com"
1446,"Hi Customer, Booking ID: WOGKRJ8. Seats: GOLD-D11,D12,D13,D14,D15,D16,D17, 7 seat(s) for Batman v Superman: Dawn of Justice on 2011-04-02 10:35 at Cinepolis: Binnypet Mall. Please carry your CC/DC card which was used for booking tickets."
1447,"Thank you for choosing taxiforsure for 2010-12-25 at 14:25. Cab:KA54L1322 , Chauffer: William, Cell: 9477838151 will reach you. T&C apply, visit www.taxiforsure.com"
1448,"PNR:3727463868,TRAIN:44736,DOJ:2014-01-05,FC,BHLE-BOKR,Dep:20:52, Devin,F3 65 , Fare:4208,SC:10.0+PG+INS"
1449,"Hi Customer, Booking ID: WGWYX7L. Seats: GOLD-B4,B5,B6,B7,B8, 5 seat(s) for The Secret Life of Pets on 2010-09-01 0:45 at Fun Cinemas: Sigma Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1450,"* KSRTC m-Ticket *  from: THRISSUR to: KUMBAKONAM PsngrName: Gavin TripCode: 1729THRKUM PNR No.: J82406929 JnyDate: 2015-07-24 DepTime: 17:29  SeatNo.: 16, 58, 12, 54, 30  Class: Non-AC Sleeper  BoardingPt: THRISSUR MG Road Txn Password: 1447 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1451,"* KSRTC m-Ticket *  from: Dharmastala to: OOTY PsngrName: Cesar TripCode: 528DhaOOT PNR No.: J51484852 JnyDate: 2015-08-03 DepTime: 5:28  SeatNo.: 54, 46, 23  Class: Non-AC chair  BoardingPt: Dharmastala MG Road Txn Password: 2148 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1452,Bimal Auto Agency : Service of your car KA81Q7216 is due in 31 days on 2009-10-12. Please contact us at 9737781131 to book a service.
1453,"PNR:8525641323,TRAIN:2877,DOJ:2010-07-10,AC3,ADB-BVS,Dep:9:19, Ian,B6 80 , Fare:5367,SC:10.0+PG+INS"
1454,"DEAR Owen, THANK YOU FOR YOUR BOOKING (ORDER ID: 43342), YOUR ORDER HAS BEEN ASSIGNED TO Devon(9715353466) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-04-07 at 20:52. FOR ASSISTANCE WHATSAPP US ON 8573236757."
1455,"Thank you for choosing Uber for 2012-04-06 at 4:11. Cab:KA35V3312 , Chauffer: Grant, Cell: 9788576358 will reach you. T&C apply, visit www.Uber.com"
1456,"Dear Guest, Thanks for choosing Peter Piper Pizza. Order ID 3733. Delivery by 2013-03-31 1:29. Enjoy 9% discount on your next purchase. Code JI3H05. T&C."
1457,"PNR:5654426633,TRAIN:47132,DOJ:2015-03-10,AC3,BLK-BBS,Dep:13:21, Jorge,B4 62 , Fare:7235,SC:10.0+PG+INS"
1458,"PNR:8638866637,TRAIN:5428,DOJ:2014-05-20,SL,BQM-BWD,Dep:16:14, William,S4 22 , Fare:461,SC:10.0+PG+INS"
1459,Bill dated 2010-11-20 for Rs 352 has been generated for your Airtel fixedline/broadband relationship no. 64722577. The same will reach you by 2010-11-23. Due date: 2010-12-05.
1460,"Dear Guest, Thanks for choosing Romano 's Macaroni Grill. Order ID 1337. Delivery by 2011-07-05 6:31. Enjoy 23% discount on your next purchase. Code IV64AU. T&C."
1461,The PNR for your AirAsia Flt 5X711 for DED-JGB on 2012-12-02 at 9:19 hrs  is NGIZEX. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1462,Welcome to San Francisco Creamery R.No. 470 Ch.In 2010-03-19 22:10 Ch.out 2010-03-30 12:00.
1463,"Dear Guest, Thanks for choosing Bread shop. Order ID 7553. Delivery by 2014-06-15 20:11. Enjoy 13% discount on your next purchase. Code CUEXUO. T&C."
1464,"DEAR Jesse, THANK YOU FOR YOUR BOOKING (ORDER ID: 81177), YOUR ORDER HAS BEEN ASSIGNED TO Raul(9851544584) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-02-25 at 5:15. FOR ASSISTANCE WHATSAPP US ON 8151722774."
1465,Bill dated 2011-09-16 for Rs 368 has been generated for your Bsnl fixedline/broadband relationship no. 86841653. The same will reach you by 2011-09-19. Due date: 2011-10-01.
1466,"Welcome to Chinese Cultural Garden R.No. 213, 285, 135 Ch.In 2012-08-03 14:24 Ch.out 2012-08-23 12:00."
1467,Welcome to Spirit Animal Sanctuary R.No. 102 Ch.In 2009-09-30 17:19 Ch.out 2009-10-09 12:00.
1468,"Hi Customer, Booking ID: WAKIS93. Seats: SILVER-F16,F17,F18,F19,F20, 5 seat(s) for The Legend of Tarzan on 2009-11-05 11:49 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
1469,"PNR:2846586761,TRAIN:6472,DOJ:2013-12-28,AC3,BTP-BRU,Dep:5:11, Jesus,B9 48 , Fare:9784,SC:10.0+PG+INS"
1470,Appointment with Dr Eric in TANJAVOOR on 2015-06-28 at 7:48 is confirmed. For queries call 1800 6176 8587. Your appt. might get delayed in case the doctor is attending an emergency.
1471,"Thank you for choosing Uber for 2013-10-19 at 17:58. Cab:KA87Z7368 , Chauffer: Francisco, Cell: 9626315232 will reach you. T&C apply, visit www.Uber.com"
1472,"Repair ref.no for your car is JC44376886 opened on 2012-03-23 2:55hrs,ETD of your car is 2012-03-24 18:45hrs and est.repair amt is Rs.2055 Rgds, Hyundai Auto Agency"
1473,"[university cafe] Hi Grant, your reservation is confirmed for 21 people on 2012-08-18 at 2:57. We can hold your table for a maximum of 18 mins."
1474,Bill dated 2010-12-19 for Rs 852 has been generated for your Reliance fixedline/broadband relationship no. 12273481. The same will reach you by 2010-12-22. Due date: 2011-01-03.
1475,"* KSRTC m-Ticket *  from: TRICHY to: MANDYA PsngrName: Braden TripCode: 1023TRIMAN PNR No.: J85831385 JnyDate: 2015-02-23 DepTime: 10:23  SeatNo.: 49, 36  Class: Non-AC Sleeper  BoardingPt: TRICHY Residency Road Txn Password: 4638 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1476,"Hi Customer, Booking ID: WJRHLHJ. Seats: PLATINUM-L12,L13,L14,L15,L16,L17,L18,L19, 8 seat(s) for The Purge: Election Year on 2015-05-29 0:24 at Lakshmi Digital 4K Cinema: Tavarekere. Please carry your CC/DC card which was used for booking tickets."
1477,The PNR for your Air India Flt 8J628 for PBD-DED on 2009-11-01 at 3:42 hrs  is ZNZE9C. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1478,"Dear Guest, Thanks for choosing Fernmeldeturm Mannheim. Order ID 6468. Delivery by 2013-11-24 15:50. Enjoy 2% discount on your next purchase. Code SEQEUH. T&C."
1479,"DEAR Matthew, THANK YOU FOR YOUR BOOKING (ORDER ID: 43812), YOUR ORDER HAS BEEN ASSIGNED TO Julio(9335415586) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-11-02 at 22:50. FOR ASSISTANCE WHATSAPP US ON 8345145876."
1480,Bill dated 2013-03-09 for Rs 230 has been generated for your Jio fixedline/broadband relationship no. 46267528. The same will reach you by 2013-03-12. Due date: 2013-03-24.
1481,"Dear Guest, Thanks for choosing Big Boy. Order ID 7386. Delivery by 2011-06-05 15:37. Enjoy 7% discount on your next purchase. Code CA2IY3. T&C."
1482,The PNR for your AirAsia Flt 6A565 for RPR-AGR on 2014-02-10 at 12:44 hrs  is C7P8NY. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1483,Bill dated 2012-04-11 for Rs 707 has been generated for your Jio fixedline/broadband relationship no. 14211248. The same will reach you by 2012-04-14. Due date: 2012-04-26.
1484,"Dear Guest, Thanks for choosing Patel Revolving Restaurant. Order ID 3745. Delivery by 2009-10-31 16:33. Enjoy 6% discount on your next purchase. Code K29LYM. T&C."
1485,Bill dated 2015-02-19 for Rs 234 has been generated for your Vodafone fixedline/broadband relationship no. 61733625. The same will reach you by 2015-02-22. Due date: 2015-03-06.
1486,Bill dated 2011-02-19 for Rs 913 has been generated for your Reliance fixedline/broadband relationship no. 32317437. The same will reach you by 2011-02-22. Due date: 2011-03-06.
1487,"* KSRTC m-Ticket *  from: NELLORE to: Mumbai PsngrName: Christian TripCode: 735NELMum PNR No.: J19961794 JnyDate: 2009-12-20 DepTime: 7:35  SeatNo.: 29, 47  Class: AC Sleeper  BoardingPt: NELLORE Bus Stand Road Txn Password: 5728 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1488,"* KSRTC m-Ticket *  from: NELLORE to: AGUMBE PsngrName: Julio TripCode: 452NELAGU PNR No.: J14805508 JnyDate: 2013-04-05 DepTime: 4:52  SeatNo.: 24, 17  Class: AC Sleeper  BoardingPt: NELLORE Bus Stand Road Txn Password: 6657 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1489,"Hi Customer, Booking ID: WWKT47I. Seats: GOLD-C5,C6,C7, 3 seat(s) for Captain America: Civil War on 2013-12-28 9:49 at Gopalan Cinemas: Arcade Mall, Mysore Road. Please carry your CC/DC card which was used for booking tickets."
1490,"PNR:1713444418,TRAIN:68338,DOJ:2015-05-21,FC,AB-VBL,Dep:18:27, Julian,F8 13 , Fare:6385,SC:10.0+PG+INS"
1491,"Thank you for choosing AirportTaxi for 2014-11-13 at 14:44. Cab:KA38N7476 , Chauffer: Harrison, Cell: 9452554476 will reach you. T&C apply, visit www.AirportTaxi.com"
1492,"Repair ref.no for your car is JC22557425 opened on 2013-07-18 19:46hrs,ETD of your car is 2013-07-19 11:35hrs and est.repair amt is Rs.282 Rgds, Sarden Auto Agency"
1493,Maha Veer Auto Agency : Service of your car KA21E8373 is due in 65 days on 2014-07-08. Please contact us at 9745661825 to book a service.
1494,Appointment with Dr Erik in HASSAN on 2012-07-11 at 23:11 is confirmed. For queries call 1800 7538 2245. Your appt. might get delayed in case the doctor is attending an emergency.
1495,"[The Cannery] Hi Kenneth, your reservation is confirmed for 6 people on 2012-06-08 at 18:51. We can hold your table for a maximum of 4 mins."
1496,"* KSRTC m-Ticket *  from: TRICHY to: SRIHARIKOTA PsngrName: Johnathan TripCode: 348TRISRI PNR No.: J93646199 JnyDate: 2011-10-24 DepTime: 3:48  SeatNo.: 9, 42, 50, 56, 25, 10, 29  Class: Non-AC chair  BoardingPt: TRICHY Rly Station Txn Password: 7865 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1497,"Welcome to alley R.No. 598, 431 Ch.In 2010-09-30 8:11 Ch.out 2010-10-29 12:00."
1498,Maha Veer Auto Agency : Service of your car KA54J4651 is due in 83 days on 2010-05-17. Please contact us at 9538215723 to book a service.
1499,Maha Veer Auto Agency : Service of your car KA41W1377 is due in 87 days on 2013-09-22. Please contact us at 9275186753 to book a service.
1500,"Repair ref.no for your car is JC47644536 opened on 2011-04-13 11:10hrs,ETD of your car is 2011-04-14 10:53hrs and est.repair amt is Rs.1612 Rgds, Aryan Auto Agency"
1501,"Dear Guest, Thanks for choosing Dipper Dan. Order ID 7433. Delivery by 2014-06-19 9:10. Enjoy 19% discount on your next purchase. Code YO7ZY6. T&C."
1502,Appointment with Dr Clayton in Thiruvananthapuram on 2012-02-19 at 11:24 is confirmed. For queries call 1800 6886 3234. Your appt. might get delayed in case the doctor is attending an emergency.
